sample_group,industry,brand,product_or_campaign,copy_primary,shot_primary,carrier_primary,carrier_primary_label,carrier_hit_terms,shot_terms,vo_or_text_excerpt,pipeline_lesson,source_file
Jingle保持节奏承载,餐饮文旅,肥肥虾庄,黄鹤楼联名餐饮,图文节奏/Jingle,图文节奏/Jingle,rhythm_text_jingle,节奏/文字/Jingle承载,rhythm_text_jingle:唱段；旋律；节拍；jingle,唱段；旋律；节拍；jingle,【唱】好水养好虾；【唱】每只都个大；【唱】非遗制作技艺；【唱】肥肥虾庄；【唱】虾大；【唱】虾好；【唱】味道好；【唱】吃好虾；【唱】来肥肥；【唱】肥肥虾庄,已有声音记忆时，视觉主要服务品牌名、包装、动作和节拍重复，不强行讲复杂故事。,餐饮文旅__肥肥虾庄__黄鹤楼联名餐饮.mp4
Jingle保持节奏承载,餐饮文旅,肯德基,避风塘大虾塔可,图文节奏/Jingle,图文节奏/Jingle,rhythm_text_jingle,节奏/文字/Jingle承载,rhythm_text_jingle:唱段；大字；字幕；旋律；节拍；jingle,唱段；大字；字幕；旋律；节拍；jingle,【台词】项目多到爆炸；来个肯德基塔可吧；【唱】抬头吃塔可，一口超有料；多汁鸡排；包裹大只南美白虾；秘制避风塘风味；肯德基避风塘大虾塔可，2个25.9元；【唱】抬头吃塔可，好事会发生,已有声音记忆时，视觉主要服务品牌名、包装、动作和节拍重复，不强行讲复杂故事。,餐饮文旅__肯德基__避风塘大虾塔可.mp4
Jingle保持节奏承载,餐饮文旅,南海悦品,海鲜套餐,图文节奏/Jingle,图文节奏/Jingle,rhythm_text_jingle,节奏/文字/Jingle承载,rhythm_text_jingle:唱段；大字；字幕；旋律；节拍；促销页；jingle,唱段；大字；字幕；旋律；节拍；促销页；jingle,【唱】吃海鲜到南海悦品；【唱】吃鲜活海鲜到南海悦品；南海悦品，猛海鲜，好吃不贵；帝王蟹四人餐，只需999；品帝王之蟹，谢心中贵人；【唱】吃海鲜就到南海悦品,已有声音记忆时，视觉主要服务品牌名、包装、动作和节拍重复，不强行讲复杂故事。,餐饮文旅__南海悦品__海鲜套餐.mp4
Jingle保持节奏承载,服饰鞋履,百家好,年终狂欢季,图文节奏/Jingle,图文节奏/Jingle,rhythm_text_jingle,节奏/文字/Jingle承载,rhythm_text_jingle:唱段；大字；旋律；节拍,唱段；大字；旋律；节拍,【唱】百家好；【唱】百家好；【唱】百家好；【唱】百家好；【唱】百家好；【唱】百家好；【唱】百家好；【唱】百家好；【唱】百家好；【唱】百家好,已有声音记忆时，视觉主要服务品牌名、包装、动作和节拍重复，不强行讲复杂故事。,服饰鞋履__百家好__年终狂欢季.mp4
Jingle保持节奏承载,服饰鞋履,南极人,速干T恤,图文节奏/Jingle,图文节奏/Jingle,rhythm_text_jingle,节奏/文字/Jingle承载,product_action:冲入 / rhythm_text_jingle:大字；放大；Logo固定；jingle,冲入；大字；放大；Logo固定；jingle,【唱】速干T恤南极人；【唱】南极人速干T恤；【唱】透气不闷汗；【唱】抗菌不闷臭；【唱】速干T恤南极人；【唱】南极人速干T恤；【唱】透气不闷汗；【唱】抗菌不闷臭；【唱】速干T恤南极人；【唱】南极人速干T恤,已有声音记忆时，视觉主要服务品牌名、包装、动作和节拍重复，不强行讲复杂故事。,服饰鞋履__南极人__速干T恤.mp4
数字标准转产品动作,餐饮文旅,森林海嬉水乐园,森林乐园会员亲子票,数字/标准证明,产品动作锤,product_action,产品/人物动作承载,product_action:喷；穿；伸手；托着,喷；穿；伸手；托着,来森林海邂逅现实童话王国；落日飞车漫游山林；摩天轮尽赏晚霞；精灵谷萌宠互动；嘉年华嗨翻全场；森林海森林乐园 自然更好玩,数字或标准不是画面答案，优先转成可见动作频率、使用动作或结果动作。,餐饮文旅__森林海嬉水乐园__森林乐园会员亲子票.mp4
数字标准转产品动作,餐饮文旅,森林海嬉水乐园,嬉水乐园亲子票,数字/标准证明,产品动作锤,product_action,产品/人物动作承载,product_action:喷；拿；穿；伸手,喷；拿；穿；伸手,来；直升机泼水狂欢；50多项目全家无限畅玩；暑期电音炸场；花火漫天；来森林海，夏天才有趣,数字或标准不是画面答案，优先转成可见动作频率、使用动作或结果动作。,餐饮文旅__森林海嬉水乐园__嬉水乐园亲子票.mp4
数字标准转产品动作,餐饮文旅,上海迪士尼度假区,10岁生日庆典限时体验,数字/标准证明,产品动作锤,product_action,产品/人物动作承载,product_action:穿；伸手,穿；伸手,上海迪士尼10岁生日庆典；限时呈现；全新演出；邀你沉浸体验；一场前所未有的盛会；有你更奇妙,数字或标准不是画面答案，优先转成可见动作频率、使用动作或结果动作。,餐饮文旅__上海迪士尼度假区__10岁生日庆典限时体验.mp4
数字标准转产品动作,餐饮文旅,新西兰旅游局,纯净新西兰轻松遛娃,数字/标准证明,产品动作锤,product_action,产品/人物动作承载,product_action:倒；穿,倒；穿,这是我们的百分百纯净新西兰，那你的呢？,数字或标准不是画面答案，优先转成可见动作频率、使用动作或结果动作。,餐饮文旅__新西兰旅游局__纯净新西兰轻松遛娃.mp4
数字标准转产品动作,服饰鞋履,戴维贝拉,童装高颜值真舒服,数字/标准证明,产品动作锤,product_action,产品/人物动作承载,product_action:擦；洗；穿,擦；洗；穿,高颜值是戴维贝拉的优势？；其实舒服才是！；戴维贝拉弹性领口，真舒服！；戴维贝拉3A级抗菌绒，真舒服！；戴维贝拉无骨缝制，真舒服！；戴维贝拉童装，高颜值，真舒服！,数字或标准不是画面答案，优先转成可见动作频率、使用动作或结果动作。,服饰鞋履__戴维贝拉__童装高颜值真舒服.mp4
